##	Base30	Cluster0	Cluster3	Cluster6
424	(14)(4)	10001001100001100	10010000111100010	10111000100110000
425	(14)(5)	10011011100001100	10110001111100010	11011100010011100
426	(14)(6)	10001001110111000	10010000111110110	10111000100011000
427	(14)(7)	11000100111011110	10110001111110110	11011100010001110
428	(14)(8)	10011011110111000	11111011000010100	10111000100001100
429	(14)(9)	10001001110011100	10110000101111110	10111000100000110
430	(14)(10)	10011011110011100	11111011000010010	10011000010111000
431	(14)(11)	10001001110001110	11110010000010100	11001100001011110
432	(14)(12)	10001001111011110	11110110000110100	10111000110111000
433	(14)(13)	10011011111011110	11110010000010010	10011000010011100
434	(14)(14)	11101110101000000	11110110000110010	10111000110011100
435	(14)(15)	11110111010110000	11100100000110100	10011000010001110
436	(14)(16)	11111011101011100	11101100001110100	10111000110001110
437	(14)(17)	11101110100100000	11100100000110010	10001000001011110
438	(14)(18)	11110111010011000	11101100001110010	10011000011011110
439	(14)(19)	11111011101001110	11001000001110100	10111000111011110
440	(14)(20)	11101110100010000	11011000011110100	10111000010110000
441	(14)(21)	11110111010001100	11001000001110010	11011100001011100
442	(14)(22)	11101110100001000	11011000011110010	10111000010011000
443	(14)(23)	11110111010000110	10010000011110100	11011100001001110
444	(14)(24)	11101110100000100	10110000111110100	10111000010001100
445	(14)(25)	11001100101000000	10010000011110010	10111000010000110
446	(14)(26)	11100110010110000	10110000111110010	10011000001011100
447	(14)(27)	11110011001011100	11111011000001010	10111000011011100
448	(14)(28)	11011101101000000	11110010000001010	10011000001001110
449	(14)(29)	11001100100100000	11110110000011010	10111000011001110
450	(15)(0)	11110111011011100	11100100000011010	10111000001011000
451	(15)(1)	11110011001001110	11101100000111010	11011100000101110
452	(15)(2)	11011101100100000	11001000000111010	10111000001001100
453	(15)(3)	11101110110011000	11011000001111010	10111000001000110
454	(15)(4)	11110111011001110	11110001010100000	10011000000101110
455	(15)(5)	11011101100010000	11111000101011000	10111000001101110
456	(15)(6)	11001100100001000	11111100010101110	10111000000101100
457	(15)(7)	11100110010000110	11110001010010000	10111000000100110
458	(15)(8)	11011101100001000	11111000101001100	10000101011110000
459	(15)(9)	11101110110000110	11110001010001000	11000010101111100
460	(15)(10)	11001100100000010	11111000101000110	10000101001111000
